etf,top_n,when,date,rank,ticker,share_of_each_1000
QQQ,15,last purchase,2025-12-31,9,AVGO,55.321304383869524
QQQ,15,last purchase,2025-12-31,10,PLTR,38.18761787939143
QQQ,15,last purchase,2025-12-31,11,NFLX,36.73415881982643
QQQ,15,last purchase,2025-12-31,12,COST,35.46415175410985
QQQ,15,last purchase,2025-12-31,13,AMD,32.408459353506785
QQQ,15,last purchase,2025-12-31,14,MU,30.44202116363554
QQQ,15,last purchase,2025-12-31,15,CSCO,28.273691975185848
QQQ,20,last purchase,2025-12-31,1,NVDA,138.86671664442557
QQQ,20,last purchase,2025-12-31,2,AAPL,122.9576170961035
QQQ,20,last purchase,2025-12-31,3,MSFT,110.40350230520934
QQQ,20,last purchase,2025-12-31,4,AMZN,75.74666319772054
QQQ,20,last purchase,2025-12-31,5,TSLA,61.25574098654838
QQQ,20,last purchase,2025-12-31,6,META,59.59634478617413
QQQ,20,last purchase,2025-12-31,7,GOOGL,55.640808123329336
QQQ,20,last purchase,2025-12-31,8,GOOG,51.82554944959622
QQQ,20,last purchase,2025-12-31,9,AVGO,50.343095763114334
QQQ,20,last purchase,2025-12-31,10,PLTR,34.75122152810217
QQQ,20,last purchase,2025-12-31,11,NFLX,33.42855516225303
QQQ,20,last purchase,2025-12-31,12,COST,32.27283246118375
QQQ,20,last purchase,2025-12-31,13,AMD,29.4921132272563
QQQ,20,last purchase,2025-12-31,14,MU,27.70262928056544
QQQ,20,last purchase,2025-12-31,15,CSCO,25.729421938550786
QQQ,20,last purchase,2025-12-31,16,TMUS,19.17603155080695
QQQ,20,last purchase,2025-12-31,17,LRCX,18.361839106316868
QQQ,20,last purchase,2025-12-31,18,APP,17.950604858763025
QQQ,20,last purchase,2025-12-31,19,AMAT,17.422145270626945
QQQ,20,last purchase,2025-12-31,20,ISRG,17.076567263353493
QQQ,25,last purchase,2025-12-31,1,NVDA,128.39298050609094
QQQ,25,last purchase,2025-12-31,2,AAPL,113.6837920300115
QQQ,25,last purchase,2025-12-31,3,MSFT,102.07654549486267
QQQ,25,last purchase,2025-12-31,4,AMZN,70.03362710914047
QQQ,25,last purchase,2025-12-31,5,TSLA,56.635652864971625
QQQ,25,last purchase,2025-12-31,6,META,55.101413205859714
QQQ,25,last purchase,2025-12-31,7,GOOGL,51.444214750277546
QQQ,25,last purchase,2025-12-31,8,GOOG,47.91671410534908
QQQ,25,last purchase,2025-12-31,9,AVGO,46.546071435392264
QQQ,25,last purchase,2025-12-31,10,PLTR,32.13018220662005
QQQ,25,last purchase,2025-12-31,11,NFLX,30.90727522768308
QQQ,25,last purchase,2025-12-31,12,COST,29.83872053139263
QQQ,25,last purchase,2025-12-31,13,AMD,27.267731319422303
QQQ,25,last purchase,2025-12-31,14,MU,25.61321551437345
QQQ,25,last purchase,2025-12-31,15,CSCO,23.788833272756357
QQQ,25,last purchase,2025-12-31,16,TMUS,17.729718859783922
QQQ,25,last purchase,2025-12-31,17,LRCX,16.976935203774453
QQQ,25,last purchase,2025-12-31,18,APP,16.596717452498506
QQQ,25,last purchase,2025-12-31,19,AMAT,16.10811584055468
QQQ,25,last purchase,2025-12-31,20,ISRG,15.788602342840145
QQQ,25,last purchase,2025-12-31,21,SHOP,15.57035856196566
QQQ,25,last purchase,2025-12-31,22,LIN,15.557379633524457
QQQ,25,last purchase,2025-12-31,23,PEP,15.331333364639764
QQQ,25,last purchase,2025-12-31,24,INTU,14.498757191949082
QQQ,25,last purchase,2025-12-31,25,QCOM,14.465111974265575
QQQ,50,last purchase,2025-12-31,1,NVDA,104.23055795213214
QQQ,50,last purchase,2025-12-31,2,AAPL,92.28950855954405
QQQ,50,last purchase,2025-12-31,3,MSFT,82.86664308919133
